Thành viên, Cống hiếnTuần này, C.CôngTuần này, Trợ côngTuần này, Quyên tặngTuần này, Cống hiếnTổng lượng, C.CôngTổng lượng, Trợ côngTổng lượng, Quyên tặngTổng lượng, Điểm T.Lực, Thuộc Châu, Nhóm
LýLịch, 26436975, 112393, 27189, 0, 26436975, 112393, 27189, 0, 27111, Quan Trung, B
Hội, 44993564, 94256, 10207, 0, 48313573, 94256, 11117, 0, 28600, Quan Trung, A
PhuongNam, 55284579, 88141, 13183, 0, 84964718, 88141, 20503, 0, 33080, Quan Trung, A
Mrmtk, 53380501, 84047, 8038, 0, 53380501, 84047, 8038, 0, 31465, Quan Trung, A
kalzen, 25060969, 81738, 14495, 0, 35566325, 81738, 18512, 0, 24280, Quan Trung, B
See, 49101822, 79319, 6129, 0, 52673616, 79319, 7024, 0, 28860, Quan Trung, A
GiảVờNgoan, 24257470, 66091, 7452, 0, 35650139, 66091, 11449, 0, 24416, Quan Trung, C
TrầnPhàm, 35937343, 65848, 9075, 0, 51439584, 65848, 16750, 0, 28853, Quan Trung, A
GiaLê, 33705839, 65691, 6798, 0, 37045883, 65691, 7554, 0, 26090, Quan Trung, A
Haomxn, 29649537, 65401, 21527, 0, 47704467, 65401, 36108, 0, 26329, Quan Trung, B
孔明, 29356161, 64740, 5978, 0, 29356161, 64740, 5978, 0, 24353, Quan Trung, B
trươngliêu, 25149731, 50222, 15441, 0, 34205652, 50308, 24949, 0, 23349, Quan Trung, B
lawth, 68090844, 48415, 2042, 0, 68090844, 48415, 2042, 0, 26013, Quan Trung, A
TranQuocTuan, 31532549, 47718, 12329, 0, 44546237, 47723, 13624, 0, 22653, Quan Trung, B
TriệuVân, 27457343, 46254, 12209, 0, 43814880, 46254, 21919, 0, 25545, Quan Trung, A
Tien, 19720194, 40955, 18733, 0, 37657493, 40955, 24345, 0, 22213, Quan Trung, B
PiPo, 38727171, 36359, 6226, 0, 56556211, 36359, 7564, 0, 29070, Quan Trung, B
sơn, 31877883, 34172, 12762, 0, 42161031, 34172, 13973, 0, 21922, Quan Trung, A
MinhAnhII, 70986394, 32805, 12521, 0, 75208213, 32805, 15986, 0, 27583, Quan Trung, A
SickMyDuck, 5982568, 32278, 10436, 0, 34685888, 82081, 10436, 0, 16878, Quan Trung, A
TKenT, 22108874, 32034, 7007, 0, 22108874, 32034, 7007, 0, 27343, Quan Trung, A
ThThắngKg, 13133282, 31993, 31059, 0, 20860438, 31998, 45592, 0, 18717, Quan Trung, B
Cabinet, 34441634, 31508, 8695, 0, 52359645, 31508, 14088, 0, 24109, Quan Trung, B
Powder, 19944158, 30011, 6927, 0, 26408703, 30026, 8402, 0, 22133, Quan Trung, B
HồngCânQuân3, 31537149, 28838, 5264, 0, 31537149, 28838, 5264, 0, 27123, Quan Trung, A
zulong, 24724312, 28768, 19460, 0, 35841189, 28768, 34771, 0, 21837, Quan Trung, B
MáMàyQuè, 27867522, 28371, 8246, 0, 40182012, 28444, 14058, 0, 20066, Quan Trung, B
MạnĐàLa, 20261905, 25732, 5323, 0, 35299597, 25732, 6211, 0, 20449, Quan Trung, B
MrNô, 37444256, 24778, 6067, 0, 37444256, 24778, 6067, 0, 24303, Quan Trung, A
mino, 13801668, 24145, 13873, 0, 18824489, 24145, 14207, 0, 19030, Quan Trung, A
SiwaSa, 12500697, 23673, 2634, 0, 16073387, 23673, 3114, 0, 12903, Quan Trung, B
MỴ, 25382987, 23386, 13479, 0, 32759569, 23413, 17164, 0, 22292, Quan Trung, B
BáƯớc, 15695963, 22917, 7093, 0, 17908282, 22917, 7093, 0, 18263, Quan Trung, A
PaPa, 41007796, 19251, 5361, 0, 41359813, 19251, 5361, 0, 22165, Quan Trung, A
HTĐ, 17740263, 17501, 4088, 0, 17740263, 17501, 4088, 0, 18902, Quan Trung, A
TriệuVăn, 13813594, 17148, 6659, 0, 18174730, 17148, 8654, 0, 18688, Quan Trung, C
SĩNguyên, 6237150, 16409, 6354, 0, 6237150, 16409, 6354, 0, 17507, Quan Trung, A
ChaCha, 43495435, 16332, 6875, 0, 43794814, 16332, 7239, 0, 21492, Quan Trung, A
Đông, 11704075, 15973, 6624, 625738, 18185138, 15980, 8469, 1224844, 16263, Hà Bắc, B
AnhBo, 14503565, 15550, 5428, 0, 18137141, 15550, 6782, 0, 16365, Quan Trung, C
MaMa, 39955493, 15333, 4907, 0, 40467452, 15333, 5737, 0, 22992, Quan Trung, A
Lawliet, 42471976, 15259, 2083, 0, 42471976, 15259, 2083, 0, 20486, Quan Trung, A
VạnAnHầu, 6704100, 14975, 13578, 0, 13434454, 14981, 23203, 0, 18134, Quan Trung, B
TVQ, 32512336, 14822, 11524, 58119, 42761180, 14822, 15756, 60038, 26636, Quan Trung, B
諸葛亮, 28662168, 14813, 6760, 0, 28662168, 14813, 6760, 0, 24332, Quan Trung, A
Anhyeuoi, 17248791, 14698, 9840, 0, 24116262, 14743, 17839, 0, 20636, Quan Trung, B
Gấubốvĩđại, 19462066, 13101, 5522, 0, 28611712, 13104, 12244, 0, 24600, Quan Trung, C
Legend, 13016930, 13042, 3402, 1055345, 17456223, 13042, 4692, 1157571, 17685, Quan Trung, B
PhúcTiênSinh, 26295889, 12921, 2540, 0, 26295889, 12921, 2540, 0, 22730, Quan Trung, C
GiiaCatLuong, 18328825, 12047, 9696, 0, 25084337, 12074, 20004, 0, 22955, Quan Trung, B
CáiGìVậy, 47229618, 11760, 7927, 0, 59905105, 11760, 11640, 0, 29339, Quan Trung, C
Iriss, 14048775, 11374, 9958, 0, 17730643, 11374, 9958, 0, 18496, Quan Trung, C
YếnThậpTamLang, 18040423, 11283, 10930, 0, 23565411, 11285, 16110, 0, 22036, Quan Trung, C
Dofflamingo, 32941093, 10572, 6481, 0, 52482418, 10781, 11988, 0, 29480, Quan Trung, B
Viss, 12120000, 10455, 24095, 0, 14641052, 10478, 42788, 0, 14441, Quan Trung, C
Nhẫn, 45819265, 9863, 3700, 0, 61248620, 9863, 5450, 0, 29573, Quan Trung, B
